streaming_log,KSQI
148.csv,66.073
149.csv,57.672
150.csv,48.124
151.csv,64.093
152.csv,31.154
153.csv,75.214
154.csv,32.398
155.csv,59.411
156.csv,56.493
157.csv,43.715
158.csv,52.98
159.csv,25.557
160.csv,74.432
161.csv,32.398
162.csv,62.3
163.csv,57.149
164.csv,46.758
165.csv,46.41
166.csv,30.067
167.csv,73.777
168.csv,32.398
169.csv,59.556
170.csv,58.389
171.csv,51.84
172.csv,59.48
173.csv,35.579
174.csv,68.498
175.csv,38.328
176.csv,74.472
177.csv,67.2
178.csv,56.336
179.csv,72.79
180.csv,41.617
181.csv,83.133
182.csv,41.041
183.csv,63.996
184.csv,65.291
185.csv,54.09
186.csv,65.712
187.csv,36.387
188.csv,81.611
189.csv,38.935
190.csv,70.796
191.csv,63.307
192.csv,55.714
193.csv,54.849
194.csv,37.68
195.csv,82.497
196.csv,41.038
197.csv,46.732
198.csv,43.198
199.csv,36.15
200.csv,42.68
201.csv,22.05
202.csv,54.767
203.csv,24.138
204.csv,52.705
205.csv,47.022
206.csv,40.878
207.csv,51.308
208.csv,27.416
209.csv,60.704
210.csv,29.147
211.csv,48.301
212.csv,45.7
213.csv,35.428
214.csv,41.036
215.csv,20.118
216.csv,58.742
217.csv,24.061
218.csv,50.931
219.csv,44.691
220.csv,40.973
221.csv,46.393
222.csv,25.934
223.csv,59.705
224.csv,28.022
225.csv,84.822
226.csv,83.005
227.csv,80.595
228.csv,83.397
229.csv,64.972
230.csv,86.446
231.csv,76.235
232.csv,89.613
233.csv,87.36
234.csv,84.779
235.csv,89.001
236.csv,67.982
237.csv,90.389
238.csv,77.3
239.csv,86.232
240.csv,86.55
241.csv,81.653
242.csv,84.754
243.csv,60.793
244.csv,90.927
245.csv,72.891
246.csv,88.646
247.csv,86.546
248.csv,83.771
249.csv,87.95
250.csv,66.639
251.csv,89.145
252.csv,76.844
253.csv,68.19
254.csv,65.708
255.csv,57.057
256.csv,65.67
257.csv,46.273
258.csv,73.511
259.csv,53.856
260.csv,76.809
261.csv,72.825
262.csv,66.218
263.csv,75.459
264.csv,52.449
265.csv,79.243
266.csv,55.935
267.csv,72.05
268.csv,72.63
269.csv,64.437
270.csv,67.666
271.csv,47.516
272.csv,80.232
273.csv,54.054
274.csv,74.823
275.csv,71.131
276.csv,64.978
277.csv,71.884
278.csv,51.209
279.csv,80.076
280.csv,53.783
281.csv,56.884
282.csv,55.595
283.csv,48.727
284.csv,50.931
285.csv,32.621
286.csv,62.718
287.csv,32.792
288.csv,68.343
289.csv,62.846
290.csv,52.855
291.csv,66.606
292.csv,36.847
293.csv,76.691
294.csv,36.532
295.csv,63.283
296.csv,61.776
297.csv,48.535
298.csv,57.785
299.csv,30.868
300.csv,76.5
301.csv,33.575
302.csv,61.246
303.csv,60.719
304.csv,51.516
305.csv,61.329
306.csv,35.576
307.csv,76.179
308.csv,35.414
309.csv,44.047
310.csv,41.513
311.csv,31.877
312.csv,40.642
313.csv,18.88
314.csv,54.177
315.csv,20.253
316.csv,52.382
317.csv,45.363
318.csv,35.558
319.csv,50.351
320.csv,22.206
321.csv,63.797
322.csv,22.136
323.csv,47.4
324.csv,45.606
325.csv,31.964
326.csv,42.176
327.csv,15.241
328.csv,63.048
329.csv,20.253
330.csv,48.06
331.csv,45.403
332.csv,34.817
333.csv,46.149
334.csv,20.17
335.csv,62.731
336.csv,21.604
337.csv,57.017
338.csv,50.454
339.csv,45.896
340.csv,51.02
341.csv,29.998
342.csv,58.074
343.csv,33.311
344.csv,61.285
345.csv,54.338
346.csv,48.387
347.csv,58.677
348.csv,32.375
349.csv,68.535
350.csv,33.311
351.csv,53.487
352.csv,55.463
353.csv,46.577
354.csv,53.028
355.csv,30.406
356.csv,67.287
357.csv,32.127
358.csv,58.102
359.csv,54.431
360.csv,46.204
361.csv,55.715
362.csv,30.692
363.csv,67.811
364.csv,33.311
365.csv,56.314
366.csv,52.184
367.csv,45.373
368.csv,49.266
369.csv,31.324
370.csv,60.696
371.csv,30.133
372.csv,65.142
373.csv,57.549
374.csv,49.647
375.csv,63.714
376.csv,38.424
377.csv,74.312
378.csv,32.601
379.csv,56.787
380.csv,55.109
381.csv,43.923
382.csv,56.07
383.csv,31.395
384.csv,73.138
385.csv,33.42
386.csv,63.47
387.csv,55.628
388.csv,49.209
389.csv,57.532
390.csv,38.071
391.csv,72.937
392.csv,33.233
393.csv,69.636
394.csv,66.807
395.csv,60.383
396.csv,67.573
397.csv,44.91
398.csv,74.421
399.csv,48.205
400.csv,79.961
401.csv,74.339
402.csv,66.754
403.csv,75.601
404.csv,51.505
405.csv,85.184
406.csv,53.751
407.csv,76.386
408.csv,73.004
409.csv,64.6
410.csv,69.885
411.csv,42.519
412.csv,81.263
413.csv,49.278
414.csv,75.968
415.csv,73.763
416.csv,66.389
417.csv,70.79
418.csv,50.81
419.csv,83.754
420.csv,52.73
