streaming_log,KSQI
115.csv,51.605
116.csv,25.106
117.csv,93.449
118.csv,0.0
119.csv,38.813
120.csv,28.912
121.csv,25.021
122.csv,37.048
123.csv,60.058
124.csv,56.557
125.csv,68.295
126.csv,69.551
127.csv,55.93
128.csv,27.78
129.csv,53.211
130.csv,43.521
131.csv,0.0
132.csv,61.637
133.csv,70.142
134.csv,73.454
135.csv,73.454
136.csv,79.463
137.csv,44.148
138.csv,18.905
139.csv,13.689
140.csv,14.717
141.csv,27.108
142.csv,19.554
143.csv,27.402
144.csv,43.534
145.csv,35.472
146.csv,6.459
147.csv,73.765
148.csv,0.0
149.csv,18.932
150.csv,25.752
151.csv,38.082
152.csv,42.358
153.csv,43.284
154.csv,28.468
155.csv,44.214
156.csv,45.514
157.csv,45.781
158.csv,20.329
159.csv,40.362
160.csv,43.219
161.csv,23.085
162.csv,31.111
163.csv,0.0
164.csv,33.336
165.csv,47.0
166.csv,54.357
167.csv,62.351
168.csv,63.277
169.csv,67.837
170.csv,52.495
171.csv,71.82
172.csv,71.081
173.csv,42.329
174.csv,74.717
175.csv,43.673
176.csv,54.111
177.csv,56.969
178.csv,59.253
179.csv,65.896
180.csv,67.395
181.csv,68.487
182.csv,69.602
183.csv,58.185
184.csv,69.038
185.csv,69.038
186.csv,73.432
187.csv,74.524
188.csv,76.468
189.csv,61.163
190.csv,53.907
191.csv,58.183
192.csv,45.065
193.csv,81.282
194.csv,81.282
195.csv,67.823
196.csv,44.633
197.csv,50.66
198.csv,82.919
199.csv,30.101
200.csv,22.034
201.csv,12.361
202.csv,16.845
203.csv,88.966
204.csv,37.532
205.csv,50.759
206.csv,90.339
207.csv,21.483
208.csv,27.556
209.csv,90.665
210.csv,1.146
211.csv,44.488
212.csv,20.934
213.csv,67.751
214.csv,79.023
215.csv,74.567
216.csv,79.141
217.csv,33.901
218.csv,46.918
219.csv,22.624
220.csv,15.3
221.csv,30.335
222.csv,0.0
223.csv,40.855
224.csv,42.677
225.csv,61.88
226.csv,53.343
227.csv,20.945
228.csv,18.303
229.csv,83.245
230.csv,48.615
231.csv,52.344
232.csv,0.0
233.csv,75.553
234.csv,76.78
235.csv,85.818
236.csv,76.672
237.csv,90.29
238.csv,68.887
239.csv,41.02
240.csv,47.399
241.csv,50.393
242.csv,37.796
243.csv,78.286
244.csv,81.206
245.csv,83.46
246.csv,88.334
247.csv,58.843
248.csv,95.799
249.csv,52.514
250.csv,0.0
251.csv,16.879
252.csv,41.009
253.csv,64.593
254.csv,46.968
255.csv,53.829
256.csv,69.25
257.csv,27.188
258.csv,93.715
259.csv,30.888
260.csv,0.0
261.csv,12.431
262.csv,23.826
263.csv,24.844
264.csv,25.69
265.csv,29.112
266.csv,30.05
267.csv,31.741
268.csv,34.475
269.csv,9.373
270.csv,20.761
271.csv,6.855
272.csv,26.968
273.csv,17.086
274.csv,0.0
275.csv,18.897
276.csv,37.983
277.csv,36.944
278.csv,44.636
279.csv,46.643
280.csv,49.074
281.csv,27.114
282.csv,56.334
283.csv,58.642
284.csv,28.87
285.csv,62.961
286.csv,31.604
287.csv,35.896
288.csv,39.208
289.csv,45.772
290.csv,49.887
291.csv,50.741
292.csv,45.96
293.csv,54.35
294.csv,39.052
295.csv,52.172
296.csv,52.172
297.csv,56.294
298.csv,57.213
299.csv,58.602
300.csv,42.869
301.csv,47.013
302.csv,42.392
303.csv,45.087
304.csv,64.292
305.csv,64.292
306.csv,52.825
307.csv,44.886
308.csv,39.24
309.csv,67.361
310.csv,11.89
311.csv,15.441
312.csv,4.716
313.csv,15.507
314.csv,77.266
315.csv,32.907
316.csv,80.073
317.csv,14.739
318.csv,19.546
319.csv,32.46
320.csv,81.055
321.csv,7.372
322.csv,58.581
323.csv,60.688
324.csv,80.12
325.csv,71.528
326.csv,82.423
327.csv,96.21
328.csv,95.517
329.csv,82.641
330.csv,80.856
331.csv,22.667
332.csv,45.037
333.csv,35.353
334.csv,53.212
335.csv,17.858
336.csv,88.123
337.csv,90.983
338.csv,93.636
339.csv,65.502
340.csv,95.717
341.csv,5.784
342.csv,39.031
343.csv,51.845
344.csv,52.622
345.csv,54.027
346.csv,54.862
347.csv,55.46
348.csv,56.719
349.csv,57.701
350.csv,44.778
351.csv,57.003
352.csv,29.818
353.csv,63.447
354.csv,55.925
355.csv,51.491
356.csv,0.0
357.csv,57.404
358.csv,76.071
359.csv,75.548
360.csv,80.893
361.csv,81.728
362.csv,85.467
363.csv,56.133
364.csv,75.492
365.csv,57.633
366.csv,89.349
367.csv,90.237
368.csv,56.872
369.csv,74.998
370.csv,76.933
371.csv,79.545
372.csv,83.947
373.csv,85.206
374.csv,74.191
375.csv,87.423
376.csv,84.91
377.csv,84.91
378.csv,89.484
379.csv,89.896
380.csv,91.32
381.csv,66.536
382.csv,57.869
383.csv,72.179
384.csv,69.15
385.csv,93.035
386.csv,93.035
387.csv,80.645
388.csv,68.368
389.csv,67.698
390.csv,95.101
391.csv,44.919
392.csv,44.88
393.csv,28.339
394.csv,33.232
395.csv,97.548
396.csv,41.919
397.csv,59.031
398.csv,34.056
399.csv,30.873
400.csv,98.362
401.csv,18.947
402.csv,53.874
403.csv,72.163
404.csv,93.457
405.csv,93.895
406.csv,43.961
407.csv,76.494
408.csv,80.706
409.csv,53.46
410.csv,65.804
411.csv,7.327
412.csv,35.995
413.csv,52.426
414.csv,58.689
415.csv,64.485
416.csv,88.742
417.csv,66.865
418.csv,65.077
419.csv,52.373
420.csv,96.632
421.csv,58.887
422.csv,85.579
423.csv,64.424
424.csv,85.442
425.csv,60.183
426.csv,95.148
427.csv,59.888
428.csv,97.323
429.csv,97.589
430.csv,56.501
431.csv,12.236
432.csv,45.257
433.csv,66.367
434.csv,79.014
435.csv,59.15
436.csv,56.858
437.csv,81.525
438.csv,49.19
439.csv,32.889
440.csv,62.677
441.csv,40.182
442.csv,46.273
443.csv,46.419
444.csv,28.948
445.csv,0.0
446.csv,41.797
447.csv,73.428
448.csv,64.778
449.csv,21.237
450.csv,95.921
